,0
148,항상쓰는거 마트보다 저렴히 잘 구입했습니다
149,아주좋아요
150,굿입니당
151,향이 궁금해서 구매해봤어요
152,좋습니다 늘 쓰던 상품이예요
153,좋아요우!!!!!
154,늘 쓰는제품 저렴하게 잘샀네요
155,늘 쓰는 제품입니다
156,아주 좋이요
157,좋아요 향도 좋고 배송도 빨라요
158,향기 좋아요
159,향이좋고저렴해요
160,굿
161,좋아요
162,자주쓰는샤프란입니다
163,좋은 가격에 잘 샀습니다감사합니다
164,향좋습니다
165,너무감사해용
166,향이 좋아요 오래가고
167,늘 쓰던거긴 하지만 좋아요
168,이전에 쓰던 향과 비슷합니다 좋네요
169,항상쓰던거예요
170,계속해서 사용하던 제품입니다 좋아요
171,향이좋아요
172,계속 주문해서 사용하고 있어요
173,향이 아예 없네요
174,싸게 잘샀어요
175,향이 좋아요ㅎ
176,줄곳흐는제품이라고민없이구매했읍니다
177,좋아요 아주
178,굿 향도굿 가격도굿
179,마트보다 싸서 좋아요
180,좋아요
181,아주 좋아요 굿
182,그냥 은은한 향기가 나는 제품 입니다
183,좋아요 ㅎㅎㅎ
184,향이 좋아서 자주 구매합니다
185,샤프란 믿고 씁니다
186,좋아용
187,가격대 구성도 좋고 향도 맘에 들어요
188,ywrhyrthhthhhdfh
189,향도좋고 향도오래가고 너무좋아요
190,저렴하고 가격대비 갯수도 많아 괜찮은듯요
191,향이 너무 좋네요ㅎㅎㅎ
192,저렴한데품질도좋아요자주시킬게요
193,향이 좋아요가성비 굿
194,마트보다 저렴해서 구입했어용향은 좋아용
195,향도 좋고 용량도 좋네요
196,향기가 오래 가는거 같아 좋아요
197,늘사용하던 제품이라 바로구매했습니다
198,저렴하고 향도 좋고 굳
199,향이좋아요
200,잘 쓰겠습니다
201,향이 좋아요
202,저렴하게 잘 구매했어요
203,냄새도 좋고 양도많아서 좋네요
204,계속 사용하는 제품입니다
205,전 이향만 씁니다ㅋㅋ착한가격 감사합니다 ㅋㅋ
206,가격대비 품질도 좋고망름에 속듭니다
207,향기가 오래지속되고 좋아요
208,항상 사용하지만 좋아요
209,옷에 향이 오래가요
210,향도 좋고 저렴해서 매번 구매합니다
211,잘 받았습니다 다음달에 또 주문할게요
212,좋네요
213,가벽과 포장은 좋았어요품질 또한 늘 쓰는거라서 좋구요헌데 배송은 늦었습니다주문을 지난ㅜ 금요일에 했는데오늘 점심때 받았읍니다배송 속도만 개선해 주시면 더 좋을듯 싶습니다
214,우리집 빨래를 책임지고있어요굿굿 너무좋아요 쿠팡은 항상 배송이 너무빨라서참 좋아요 ㅎㅎ!!! 특히 로켓배송 너무잘이용하는중에요
215,해당 제품이 오지 않고 해당 이미지와는 다른 제품이 배송되었습니다다음부터는 제품 확인 후 발송 바랍니다
216,항상 쓰는 제품이고요너무 아쉬운게 로켓배송 없어서그래도 배송이 아주 느린건 아니여서 꾸준히 쓰고있어요
217,매번 주문하는 제품입니다 향도 넘 좋고 저령하고 무거운데 집앞까지 배송해주고 너무 좋아요
218,향너무좋아요역시샤프란이 가성비갑 쿠팡맨님들 정말 감사합니다
219,릴렉싱아로마 주문했는데 시어버터가왔네요 교환하기 귀찮아서 그냥 씁니다
220,늘 사용하는 상품이구요배송빠르고 가격저렴해서자주 이용합니다
221,포장상태도 튼튼하고 배송은 역시나 빠르규 ㅎㅎㅎ 재구매 100
222,역시나 샤프란 배송도 빠르고 박스 포장도 찢어짐 없이 좋네요
223,향좋구요 지속적 빨래후남아있구 꼼꼼한배송에감사해요
224,배송빨랐구요! 향도좋고 양도많아 만족합니다!!
225,향이좋아 매달두번씩 로켓배송으로시키는 샤프란
226,가격도 저렴하고 배송도 엄청 빠르네요
227,빨리오고 향도좋아요 ㅎㅎ
228,역시 로켓배송 최고입니다
229,빠른 배송 감사합니다
230,배송빠르고 아주 좋습니다
231,역시 배송 짱입니다
232,늘 써왔단거라 나쁘지 않았네요
233,배송진짜빠르네요!!싸고 양많게 잘샀습니다
234,감사합니다
235,빠른배송 감사합니다
