,Keyword,Date,Title,Contents,Words,Comments,Source
39,빨래,2019년 8월 20일, ,쓸데없이 아침형인간인 나는 아침부터 #빨래수건이 아주 바싹 잘 말랐넹??엄마는 거실에서 티비보시고 난 빨래개고#뭔가그림이이상하다#응나월차#늦잠자보고싶다#일찍일어나는새가피곤하다#이런날엔좀자라#노예의아침#출근준비하냐어찌냐진짜#이럴거면#출근해,"'아침형인간', '나', '아침', '아주', '바싹', '말랐넹', '엄마', '거실', '티비', '보시', '난', '빨래', '뭔가', '그림', '응', '월차', '늦잠', '일찍', '새', '날', '좀', '노예', '아침', '출근', '준비', '어찌', '진짜', '출근'", ,instagram
40,빨래,2019년 8월 20일, ,??복면가왕 데스티니 빨래 처돌이 우르먹빨래 너무 좋아서 복가영상을 카페에 앉아 2시간 앉아서 무한반복한적이 있었다빨래는 클립이 올라오지 않아서 아쉬웠는데 이렇게 라이브로 들을 수 있어서 행복했던오빠가 라디오에서 말했듯이 적님 음악이 오빠랑 되게 되게 잘어울린다 언젠가 그 콜라보도 기대해 보며??우리 새벽 오빠는 늘 그자리에서 지금처럼 그렇게 빛나주세요?어떠한 어둠속에서도 단번에 딱 찾아 그길 따라 갈 수 있게??..#썸머매드니스2019 #SummerMadness2019 #노들섬#데브썸머매드니스페스티벌#데이브레이크#이원석#빨래,"'복면', '왕', '데스티니', '빨래', '처', '돌이', '우르', '빨래', '복', '영상', '카페', '무한', '반복', '한적', '빨래', '클립', '라이브', '수', '오빠', '라디오', '말', '적', '음악', '오빠', '그', '콜라보', '우리', '새벽', '오빠', '늘', '자리', '지금', '어둠', '속', '단번', '길', '수', '데브', '썸머', '매드', '니스', '페스티벌', '데이브레이크', '이원석', '빨래'", ,instagram
41,빨래,2019년 8월 20일, ,"어느덧 한자리-마지막 빨래라고 생각하며 너를 맞이할준비로 하루하루를 보내는 요즘,우리 건강하게 만나자 화이팅??-#예비맘 #황금돼지띠 #아가옷 #빨래","'한자리', '마지막', '빨래', '생각', '너', '맞이', '준비', '하루하루', '요즘', '우리', '화이팅'", ,instagram
42,빨래,2019년 8월 20일, ,그게 참 맘처럼 쉽지가 않아서그게 참 말처럼 되지가 않아서..#1분순삭 #1분고르기 #1분자르기#데이브레이크 #이원석 #빨래#걸리버 #가왕님 #썸머매드니스2019,"'그게', '맘', '그게', '말', '데이브레이크', '걸리버'", ,instagram
43,빨래,2019년 8월 20일, ,#laundry......빨래하기 좋은 날...photo by @tskick_p ...#빨래 #런더리 #빨래널기 #빨래컨셉 #컨셉촬영 #소니첫촬영 #a7m3,"'빨래', '날'", ,instagram
44,빨래,2019년 8월 20일, ,아침부터 나를 괴롭히더니아직도 힘이 남아도는구나ㅠㅠ쉬는 날엔...청소하고 밀린 집안 일을 하는데..오늘은 너무 귀찮다ㅠㅠ.....#일상#좋아요#맞팔#데일리#팔로우#셀카#셀스타그램#데일리그램#소통#미국#휴스턴#houston#Texas#일상#좋아요#맞팔#데일리#팔로우#셀카#셀스타그램#데일리그램#소통#시바이누#시바견#shibainu#울아들램#호야#hoya??#dog#dogstagram#보보#말티즈#maltese#bobo#쉬는날#offday#청소#빨래#언제하지....,"'아침', '힘', '남아도', '구나', '날', '청소', '집안', '일', '오늘', '맞팔', '데', '일리', '팔로우', '셀카', '셀', '스타', '그램', '데', '일리', '그램', '소통', '미국', '휴스턴', '일상', '맞팔', '데', '일리', '팔로우', '셀카', '셀', '스타', '그램', '데', '일리', '그램', '소통', '시바이누', '시바견', '아들', '램', '호야', '보보', '말티즈', '날', '청소', '빨래', '언제'", ,instagram
45,빨래,2019년 8월 20일, ,솔롱고까지 초점 다 맞게 나왔으면 참 좋은 샷인데.. 많이 아쉬운 사진 ?? 하지만 분위기는 예쁘니 됐다 ??#빨래 #뮤지컬빨래 #커튼콜 #슬플땐빨래를해 #동양예술극장 #혜화 #서나영 #윤진솔 #진솔나영 #윤진솔배우님 #솔롱고 #강기헌 #기헌롱고 #강기헌배우님,"'솔롱고', '초점', '샷', '사진', '분위기'", ,instagram
46,빨래,2019년 8월 20일, ,민경할매 ?? 오랜만에 달 사진 찍다가 저번에 못 올린게 있길래 바로 ?? 빨래 넘모 보고싶다.. 공연 끝나고 나면 꼭 보러가야겠다 ?? #빨래 #뮤지컬빨래 #커튼콜 #슬플땐빨래를해 #동양예술극장 #혜화 #주인할매 #민경할매 #최민경 #최민경배우님,"'민경', '만', '달', '사진', '저번', '못', '바로', '빨래', '모', '공연', '꼭'", ,instagram
47,빨래,2019년 8월 20일, ,출장과 여행의 마무리는 가족이 모두 잠든 야밤 빨래. 세탁기 4번 이상 돌리기 ????. 집안 구석구석 정리하며 아이들이 엄마가 없는 동안 무엇을 했는지 산책?????♀?. 친정 어머니가 남겨두신 흔적들을 따라가기?????♀?. 그냥 모든 것에 감사해지는 새벽 1시 반 ??????.-#살림#살림의즐거움#빨래#야밤빨래#사랑하는아이들#사랑하는친정엄마,"'출장', '여행', '마무리', '가족', '모두', '밤', '빨래', '세탁기', '번', '이상', '집안', '구석구석', '정리', '아이', '엄마', '동안', '무엇', '산책', '친정', '어머니', '흔적', '그냥', '모든', '것', '새벽', '반', '살림', '즐거움', '빨래', '밤', '빨래', '사랑', '아이', '사랑', '친정엄마'", ,instagram
48,빨래,2019년 8월 20일, ,#세탁기#글#글귀#시#끄적#생각#소통#일기#후회#빨래,"'글', '글귀', '시', '생각', '소통', '일기', '후회', '빨래'", ,instagram
