,0
239,향도괜찮고겨울점퍼나 담요 세탁시좋아요
240,오프라인보다 훨씬저렴하고양도 않구빨래도잘되요
241,빨래도 깔끔하게 되고 은은한 향이 남는거 같습니다
242,늘 쓰던것이사하면서 전에 통버리고 새로 샀어요
243,전 이거만 써요 너무 좋고 액체라 더 좋고믿음이가요
244,때가 쏘옥잘빠져서 이제 이것만쓸듯
245,항상 이용하는 상품이예요 쿠폰 사용으로 더 저렴하게완전 만족이예요
246,그냥그래요
247,진드기 까지 잘 박멸되리라 믿고 씁니다
248,항상 찾게 되는 상품이예요
249,아주 저렴하게 잘샀어용
250,용량도 크고 가격도싸서 만족합니다
251,테크 함 써보세요
252,이불세탁용으로 구매했어요!
253,잘쓸것같아요
254,늘 쓰던거라 만족합니다
255,아주잘쓰보있어요 때도잘지보요
256,좋아요 잘쓰고있어요
257,좋아요
258,이불빨래 전용으로 쓰려고 샀어요 잘쓸게요
259,좋아요!
260,좋아요
261,이것만 쓰는중 좋아요ㅋ
262,좋아요
263,진드기제거 세제라해서 믿고 사용해요
264,항상 사용하는 제품입니다
265,항상쓰고있는제품이라구매
266,늘 구매하는 제품 입니다
267,조움!
268,좋아용
269,좋아요
270,좋습니다!
271,착한가격에 구매테크만 쓰게 되네요
272,추천해요완전좋아요
273,향도 괜찮고 잘 씻겨지는 갓 같아요 잘쓸게요
274,강추입니다
275,항상 쓰는 제품입니당
276,완전좋아요
277,약간 껄쭉한 세제가성비 좋고만족합니다
278,역시 테크네요 가격값을하네요
279,좋아요늘 사용하는거라
280,굿굿굿굿굿
281,아직 안써봣는데좋을것같아서 구매햇어요
282,늘 쓰는 제품 좋아요!
283,좋아요
284,재구매합니다
285,원래사용하던제품좋아요
286,테크 좋아용
287,좋아요
288,상용전이라 배송은빨랐어요
289,진드기성분든건첨늘 다른회사꺼만사용
290,좋네요
291,뚜껑이 열려서 흘리고 난리도 아님
292,진드기세제로 최고
293,너무좋습니다싸고
294,쓰고 있는거 항상 써요 
295,아직 사용전이라 평 쓰기가 
296,굳
297,ㅡ세제중에 젤 나은거같아요
298,계피향이 솔솔
299,좋아요
300,늘구매하는제품입니다
301,마트보다 저령해요
302,저는 제구매 랍니당 ㅎㅎ 굿입니다요
303,써보니 좋네요
304,가격대비 무난한 상품인 것 같아요
305,물에잘녹고 잔류세제가 없아 좋아용
306,믿고 쓸만한 세제인듯 하네요
307,항상사용하는것예요넘좋네요
308,사던데서 같은상품 재구매 해요
309,잘빨려용
310,괜찮아요
311,좋아요!!!
312,좋아요
313,진드기의 찝찝함이 들하는기분이예요
314,저렴하게잘샀어요
315,깨끗하게 씻길것같아요
316,늘 애용하는건데 좋아요 강추합니다
317,향이 독하지않아 좋아요!
318,매번구매!!!쓰던걸계속사용하게되네요
319,싸게삿음!
320,저두 쓰고 친정맘도 쓰시공 ㅎㅎ
321,재구매의사 있습니다 원룸 필수품이네요
322,아주 좋아요진짜대박상품
323,좋아요
324,테크쓰던제품이라 또 구매해봐요
325,싸게 잘 산거 같아요
326,좋아요
327,전 늘 테크만써요때잘빠져요
328,항상구매하는제품입니다
329,양 짱 많아요 아직 반도 못 쓰고있눈중
330,좋아요
331,세정력 좋습니다
332,좋아요 아주좋아요 향도 좋아요
333,쏘쏘 무난
334,진드기 안심
335,조은거같아요
336,매번 쓰는 상품입니다괜찮은거같아요
337,가격이 싸서 구입해요
338,저렴하고 좋아요
339,테크 진드기 좋아요
340,세탁력  용량 가격최고추천합니다
341,저렴하고 좋아요
342,테크 좋아여 ㅋㅋ
343,이불빨래할때 따로쓰고있습니다
344,아직안 써봤지만 좋겠죠
345,저렴하게구매한거같아요잘사용하고있어요
346,좋아요
347,그다지 효과가 있는지 잘 모르겠음
348,만족합니다
349,세탁력이 좋아요
350,항상 쓰던거 진드기잡아준데서 맏고 쭉 쓰고있음
351,저렴하게잘샀어요
352,재구매합니다
353,싸게잘샀어요 많이파세요
354,좋아요
355,빨래 후 냄새가 개운하고 좋아요
356,진드기가 없어졌음 하는 맘으로 샀어요
357,좋아요
358,저렴하게 잘 샀네요진드기 걱정 안해도 될듯
359,좋아요
360,쓰기 편안해요
361,좋습니다
362,아직안써봤지만 기대돼네요
363,좋아요
364,잘받았어요 다음에 또
365,많이 넣지않음 더 좋아용
366,때가 잘빠져요
